pomme,poire
chat,chien
café,thé
pain,baguette
football,rugby
guitare,piano
soleil,lune
mer,océan
rouge,rose
hiver,automne
voiture,moto
livre,magazine
ordinateur,tablette
chaise,fauteuil
riz,pâtes
fromage,beurre
avion,hélicoptère
tennis,badminton
lion,tigre
montagne,colline
chocolat,cacao
pizza,burger
vélo,trottinette
rose,tulipe
dentiste,médecin
professeur,enseignant
cinéma,théâtre
restaurant,café
hôtel,auberge
carotte,navet
fraise,framboise
banane,ananas
orange,clémentine
raisin,cerise
tomate,poivron
concombre,courgette
oignon,ail
poulet,dinde
boeuf,veau
porc,jambon
saumon,thon
crevette,crabe
lait,yaourt
eau,jus
vin,bière
soda,limonade
short,bermuda
pull,gilet
chaussette,collant
basket,tennis
botte,chaussure
casquette,chapeau
écharpe,foulard
gant,moufle
pantalon,jean
chemise,polo
robe,jupe
maillot,bikini
pyjama,nuisette
sac,valise
montre,horloge
bague,collier
boucle,bracelet
lunette,monocle
parapluie,parasol
clé,cadenas
porte,fenêtre
mur,cloison
toit,plafond
escalier,ascenseur
balcon,terrasse
jardin,cour
garage,parking
cave,grenier
salon,séjour
chambre,dortoir
cuisine,office
salle,pièce
bureau,cabinet
école,collège
université,faculté
bibliothèque,librairie
musée,galerie
parc,square
stade,arène
piscine,bassin
plage,côte
forêt,bois
rivière,fleuve
lac,étang
désert,dune
ville,cité
village,hameau
rue,avenue
route,chemin
pont,viaduc
tunnel,passage
gare,station
port,quai
aéroport,aérodrome
bus,car
train,métro
taxi,uber
camion,fourgon
bateau,navire
yacht,voilier
kayak,canoë
ski,snowboard
patin,roller
surf,planche
natation,plongée
course,sprint
saut,bond
lancer,jet
combat,lutte
boxe,karaté
judo,taekwondo
yoga,pilates
batterie,percussion
harpe,lyre
tambour,cymbale
micro,enceinte
télévision,écran
radio,podcast
stylo,crayon
gomme,effaceur
règle,équerre
compas,rapporteur
enveloppe,timbre
lettre,courrier
poste,messagerie
téléphone,portable
message,sms
email,courriel
photo,image
vidéo,film
dessin,croquis
peinture,aquarelle
sculpture,statue
poterie,céramique
vase,pot
bouquet,composition
arbre,arbuste
fleur,pétale
feuille,branche
racine,tige
fruit,légume
graine,noyau
herbe,gazon
mousse,lichen
champignon,truffe
abeille,guêpe
papillon,libellule
fourmi,termite
mouche,moustique
araignée,scorpion
serpent,lézard
grenouille,crapaud
tortue,carapace
oiseau,volatile
aigle,faucon
corbeau,pie
pigeon,colombe
canard,oie
poule,coq
lapin,lièvre
souris,rat
écureuil,tamia
renard,loup
ours,grizzly
éléphant,mammouth
zèbre,âne
cheval,poney
vache,taureau
mouton,brebis
chèvre,bouc
cochon,sanglier
singe,gorille
koala,panda
kangourou,wallaby
dauphin,orque
baleine,cachalot
requin,raie
pieuvre,calmar
méduse,anémone
étoile,oursin
corail,récif
algue,varech
banane,framboise
orange,mandarine
fraise,myrtille
abricot,nectarine
pêche,brugnon
cerise,groseille
ananas,papaye
mangue,fruit
citron,lime
kiwi,melon
tramway,rer
fusée,navette
tracteur,moissonneuse
canapé,sofa
lit,matelas
armoire,penderie
bureau,secrétaire
étagère,bibliothèque
tabouret,escabeau
fauteuil,rocking-chair
commode,coffre
pluie,averse
neige,blizzard
orage,tonnerre
brouillard,brume
vent,courant
cyclone,ouragan
sécheresse,canicule
grêle,grison
verglas,givre
napoléon bonaparte,alexandre le grand
cléopâtre vii,néfertiti
jules césar,auguste
jeanne d'arc,marie curie
louis xiv,louis xvi
christophe colomb,fernand de magellan
neil armstrong,youri gagarine
isaac newton,albert einstein
sigmund freud,carl jung
platon,aristote
socrate,pythagore
homère,virgile
dante alighieri,william shakespeare
molière,pierre corneille
voltaire,jean-jacques rousseau
naples,venise
paris,lyon
londres,manchester
berlin,munich
madrid,barcelone
rome,milan
athènes,spartes
istanbul,ankara
moscou,saint-petersbourg
pekin,shanghai
tokyo,osaka
sydney,melbourne
new-york,los-angeles
chicago,miami
rio,sao-paulo
cape-town,le-caire
nairobi,dakar
marrakech,alger
casablanca,tunis
bangkok,hanoi
delhi,mumbai
karachi,islamabad
teheran,bagdad
kabul,damas
jerusalem,la-mecque
bruxelles,vienne
zurich,geneve
stockholm,oslo
copenhague,helsinki
prague,varsovie
